"   ","Удержание","ASO выручка","Admob монетизация","Показы","Конверсия в клик","ASO установки"
"1 месяц","65.00","194.00","1.94","396","0.83%","141"
"2 месяц","50.00","168.00","2.49","384","1.04%","162"
"3 месяц","43.00","168.00","1.31","355","1.01%","144"
"4 месяц","38.00","154.00","1.42","361","1.20%","169"
"5 месяц","34.00","153.00","1.47","348","1.12%","143"
"6 месяц","30.00","146.00","1.99","334","0.92%","101"
"7 месяц","26.00","147.00","1.04","347","1.03%","125"
"8 месяц","25.00","138.00","0.76","303","1.17%","121"
"9 месяц","23.00","137.00","1.23","260","0.62%","96"
"10 месяц","21.00","129.00","2.27","416","0.87%","95"
"11 месяц","20.00","114.00","1.06","681","1.14%","135"
"12 месяц","21.00","118.00","2.66","261","1.07%","89"
